Day,Trip,TripStatus,StartTime,EndTime,Type,Event,TypeOfEvent,Level,Site,SiteRoom,Leader1,Leader2,Leader3,Leader4, FeeRequired,FEE,TransportNeeded,Transportation,MaxAttendees,SecondaryStatus,MultiEvent,MultiEventCode,Program
"Friday","113","Retain",08:15:00,12:00:00,"Field Trip","Bay Shore to Salt Marsh Walk","Birding","B,Y","Community Center","","Rouvaishyana ","Randy Bello","Louise Bello","","No",,"No","Personal Vehicle",15,"SOLID","No","","Travel by personal vehicle from the Community Center to Bayshore Bluffs Park, a small city park. From there walk past the Inn at Morro Bay, the Heron Rookery, a mudflat shore, the Museum and into the salt marsh. Walking along the edge of the bay, you will pass a variety of habitats for viewing many different species of birds; expect a few dozen. For those who wish, you have the option of an informal no-host post-walk lunch at the Bayside Café. Leaders: Rouvaishyana, Museum of Natural History Manager; Randy Bello, State Parks Docent; and Louise Bello, State Parks Volunteer. Moderate pace; distance about 4 miles round trip. Walk back to cars at your own pace afterward. Moderate."
"Friday","114","Retain",08:30:00,11:00:00,"Presentation","Basics of Bird ID","Birding","B,W,Y","St. Timothy's","","Bill Bouton","","","","No",,"No","None",50,"SOLID","Yes","BOBID1","Join experienced birder Bill Bouton for this entertaining and informative workshop for new birders. Using many projected images, Bill will share aspects of bird observation for the purpose of determining identification that you may not find in field guides. He will also give you tips on choosing binoculars, field guides and other equipment. This workshop is a prerequisite before participation in an afternoon field experience, event #126, for which you must register separately."
"Friday","115","Retain",08:30:00,12:00:00,"Field Trip","South Morro Bay Shoreline","Birding","","Community Center","","Jay Carroll ","","","","No",,"No","Personal Vehicle",15,"SOLID","Yes","SMBS1","Join leader Jay Carroll for a flat 2-3 mile walk birding the diverse shoreline habitats of the Back Bay, including Sweet Springs Nature Preserve, Cuesta Inlet and Pecho Willows. Expect a variety of shorebirds, waterfowl, raptors and passerines. 12 miles round trip by personal vehicle. Moderate. Same as event #324."
"Friday","116","Retain",09:00:00,10:45:00,"Field Trip","Bay Birding Photo Cruise ","Birding","B","Embarcadero","","Dave Keeling","","","","Yes",$30.00,"Yes","Boat",18,"SOLID","Yes","BBPC1","Join local expert photographer Dave Keeling aboard a 34-foot power catamaran and cruise around the ever beautiful estuary. Dave will attempt to spot and help identify birds that are seen. Not all of them are cooperative, but there are always some good photo-ops. Dress warmly. No tripods. Meet at Sub Sea Tours at Marina Square, 699 Embarcadero #9. Easy. Children 12 and under must be accompanied by an adult. Same as events #226 & #326."
"Friday","117","Retain",09:00:00,12:00:00,"Field Trip","Birding Around Morro Bay","Birding","","Community Center","","Marlin Harms ","Dennis Sheridan","","","No",,"No","Personal Vehicle",15,"SOLID","No","","Bird with Marlin Harms and Dennis Sheridan to visit the best birding spots around the estuary, including Morro Rock, the bay, the marina and more. Look for shorebirds, water birds and land birds. 15 miles round trip by personal vehicle. Moderate."
"Friday","118","Retain",09:00:00,12:00:00,"Field Trip","Kayaking ","Birding","B,Y","State Park Marina","","John Flaherty","Virginia Flaherty","","","Yes",$45.00,"Yes","Kayak",12,"SOLID","Yes","K1","Go out on a kayak tour of Morro Bay with John and Virginia Flaherty and guides at Central Coast Outdoors. Get an opportunity for an up-close view of White Pelicans, Brant, Common Loons and a host of other migratory waterfowl and shorebirds in their natural habitat. Visit the Heron Rookery, Grassy Island, mudflats and channels of the Back Bay. We will use double kayaks; no prior kayaking experience needed. Dress in layers with the following guidelines: synthetics or wool, no cotton, windbreaker jacket, hat for sun and wind protection, and shoes that can get wet. Weather conditions may cancel. Meet at the State Park Marina on State Park Road near the Bayside Café. Minimum age is 8 and children 12 years and under must be accompanied by an adult. Same as events #217, #227, #330 & #406."
"Friday","119","Retain",10:00:00,11:30:00,"Field Trip","View Morro Bay Estuary from Black Hill","Nature","B,Y","Community Center","","Lexi Bell","Rachel Pass","","","No",,"No","Personal Vehicle",15,"SOLID","No","","Hike to the top of Black Hill with Morro Bay National Estuary Program Assistant Director Lexie Bell and Communication and Outreach Coordinator Rachel Pass for a remarkable view of the bay and watershed. Learn about the history and ecology of the Morro Bay estuary, as well as important conservation actions taking place to protect this special resource. The Morro Bay estuary is one of only 28 National Estuaries and is an Audubon Important Bird Area. The trail is steep in places but less than ½ mile in length. < 5 miles roundtrip by personal vehicle. Moderate to Strenuous. (www.mbnep.org)"
"Friday","120","New",10:00:00,11:45:00,"Field Trip","Morro Bay Up Close","Nature","B,Y","Morro Bay Landing","","John McCabe","Capt. Stew","","","No",$30.00,"Yes","Boat",20,"SOLID","Yes","MBUC1","State Parks Docent John McCabe begins this special trip by describing the geologic history of Morro Rock and features of the estuary using photos, diagrams and hands-on materials. Captain Stew will then take you on a bay cruise on his spacious pontoon boat as he points out the special sights and activities of this unique working harbor including the fishing industry, pleasure boats and more. There will be opportunities to photograph wintering birds, but the boat will also get close to otters and sea lions that frequent the bay. Easy access for limited mobility. Meet at Morro Bay Landing; address is 1213 Embarcadero, Morro Bay. Children 12 and under must be accompanied by an adult. Same as event #228, #332 & #414."
"Friday","121","Retain",10:00:00,12:00:00,"Presentation","Birding and Technology","Nature","B,Y","Community Center","Lounge","Chris Cameron","","","","No",,"No","None",25,"SOLID","No","","Can technology and birding be friends? At this workshop lead by Chris Cameron, you'll learn how to enhance your nature observations by experimenting with a variety of new nature apps. Why would you want to ruin your time in nature by mixing in a smartphone? Because these new apps can help you, find new nature spots, get help with nature ID's, share observations with friends and keep accurate lists. And finally, your observations can benefit the scientific community by turning your time in nature into valuable data points with a simple easy click on your device. We will explore iNaturalist, iBird Pro, Merlin Bird ID and many other new nature apps. Bring your iPhone, iPad, Android smart phone, kindle or whatever device you use! Download as many apps as you can before the workshop. After discussing these apps, we will go outside and try them out!"
"Friday","122","Retain",10:00:00,12:00:00,"Field Trip","Morro Bay Marina Limited Mobility","Birding","W","State Park Marina","","Rich Hansen","","","","No",,"No","None",10,"SOLID","No","","The Morro Bay State Park Marina boardwalk provides opportunities for viewing a variety of shorebirds, ducks, geese, loons, grebes, gulls, terns and herons. Additionally, Peregrine Falcons and other raptors, warblers, sparrows, finch and other local birds are often seen from the boardwalk. Join Rich Hansen for this slow, level half-mile walk especially suited for photographers and people with wheelchairs and those using walkers and canes. Meet at east end of the State Park Marina parking lot, across from Morro Bay State Park Campground. Approximately 2.5 miles from Community Center. Easy."
"Friday","123","Retain",10:00:00,12:00:00,"Field Trip","Visit an Oyster Farm on Morro Bay Estuary","Nature","B,Y","State Park Marina","","George Trevelyan","","","","No",$30.00,"Yes","Boat",20,"SOLID","No","","Join marine biologist and oyster farmer George Trevelyan on a tour of Grassy Bar Oyster Company's intertidal oyster bed. We will look at and talk about how we raise oysters and how they fit into the ecology of the estuary. Meet at Lost Isles to board an electric boat to get to the oyster beds. The address of Long Isles is 845 Embarcadero, Morro Bay. Minimum age is 8; children 12 years and under must be accompanied by an adult. Approximately 2.5 miles from Community Center."
"Friday","124","New",12:30:00,14:00:00,"Presentation","Condor Recovery Program/Hi Mountain Lookout Project","Birding","B,W,Y","Veterans Hall","Multi-Purpose Room","Steve Schubert","","","","No",,"Yes","",0,"SOLID","No","","The endangered California Condor population, once near the brink of extinction, has been on the recovery the past several decades due to innovative management techniques and dedicated work by staff biologists and volunteers, in coordination with the California Condor Recovery Program. Steve Schubert will give an overview of condor biology and provide an update on the captive breeding and reintroduction program (including a new release site locally in San Luis Obispo County), radio and GPS tracking data, fledgling success from recent nesting in the wild and future management challenges, including reducing exposure to lead poisoning and 'microtrash' ingestion. Steve has been the coordinator of the Hi Mountain Condor Lookout Project (website at www.condorlookout.org and facebook page at www.facebook.com/condorlookout) since the project's inception in 1996. Located on the summit of the Santa Lucia Mountains within Los Padres National Forest, the lookout is staffed by volunteers and Cal Poly student interns conducting condor tracking and other biological field research projects, in the heart of 'condor country.'"
"Friday","125","Retain",13:00:00,14:30:00,"Field Trip","Snowy Plovers in the Field","Birding","B,Y","Community Center","","Regena Orr","","","","No",,"No","Personal Vehicle",15,"SOLID","Yes","SP1","Join Regena Orr, Environmental Scientist for California State Parks, as you explore the beach for Western Snowy Plover and learn about their habits. Hear the life history of this small bird and why it is listed as a Federally Threatened Species. (www.westernsnowyplover.org) Up to 20 miles round trip by personal vehicle. Moderate. Same as event #230."
"Friday","126","Retain",13:00:00,15:00:00,"Field Trip","Basics of Bird ID in the Field","Birding","B,Y","Community Center","","Rouvaishyana","Ralph Cass","","","No",,"No","Personal Vehicle",20,"SOLID","Yes","BOBID2","Join Ralph Cass and Rouvaishyana in the field for the second part of the “Basics of Bird ID” workshop. (See event #114, which is a prerequisite to this event.) Bring binoculars and your field guide. <5 miles round trip by personal vehicle. Easy. Same as event #126."
"Friday","127","New",13:00:00,15:00:00,"Presentation","Delving into the Mysteries of Sparrow Identification and Natural History","Birding","B,W","Community Center","Lounge","David Jaffee","","","","No",,"No","None",30,"SOLID","No","","This seminar, presented by David Jaffee, is designed for folks interested in exploring the veil of secrecy shrouding LBB’s (little brown birds) and will be generally geared towards beginner ‘delvers’, although all are welcome. The workshop will spend about 1 1/2 to 2 hours indoors learning some natural history of sparrows, key identification features to help us differentiate these LBB’s in the field and how not to confuse them with their look-alikes. The field trip will visit a nearby site to implement our newly acquired skills to identify sparrows, as well as other birds along the way."
"Friday","128","Retain",13:00:00,15:00:00,"Presentation","Marine Protected Area","Nature","B,Y","Museum","Auditorium","Dean Wendt","","","","No",,"No","None",40,"SOLID","No","","This seminar, presented by Dean Wendt, Cal Poly Professor of Biology, will provide a general overview of the different types of spatial designations (e.g., Sanctuary, Marine Protected Area, National Estuary, etc.) and what we understand to be some of the ecological and social impacts of such designations. The talk will focus on local examples of such areas to help build a stronger understanding of our regional ocean resources."
"Friday","129","Retain",13:00:00,16:00:00,"Field Trip","Birding by Careful Observation","Birding","B,Y","Community Center","","Michele Roest","","","","No",,"No","Personal Vehicle",15,"SOLID","No","","Enjoy birds through leisurely in-depth observation and enhance your ID skills with the help of biologist Michele Roest. This is not a "tick and run" kind of birding trip, but a stroll through El Chorro Regional Park sharing observations of bird characteristics with the group -- finally checking a guide for positive identification. Be surprised at the variations you see, whether crows or Black Phoebes. Bring binoculars and a favorite field guide. 15 miles round trip by personal vehicle. Easy. Same as event #322."
"Friday","130","Retain",13:30:00,14:30:00,"Field Trip","Pacific Wildlife Care Tour","Nature","B,Y","Community Center","","Claudia Duckworth","Jeanette Stone","","","No",,"No","Personal Vehicle",15,"SOLID","Yes","PWCT1","Join long-time volunteers Claudia Duckworth and Jeanette Stone at the Pacific Wildlife Care Center in Morro Bay. Following a brief presentation, they will give a tour of the Wildlife Rehabilitation Center facility. Learn about PWC's work with lead-poisoned birds, fishing hook and line injuries, and the many other causes of illness and injuries treated regularly at the Center. Since PWC is a primary facility under the OWCN (Oiled Wildlife Care Network), emphasis will be placed on the Center's rehabilitation process for oil-affected birds. <2 miles round trip by personal vehicle. Easy. Same as event #336."
"Friday","131","Retain",13:30:00,15:30:00,"Field Trip","Gardening to Attract Birds","Nature","B","Community Center","","Ken Levine","","","","No",,"No","Personal Vehicle",15,"SOLID","No","","Join Ken Levine for a presentation and docent-led tour of the San Luis Obispo Botanical Garden that highlights plants from the five Mediterranean climate zones of the world. The Botanical Garden provides a unique bird habitat. You will see many nectar-producing flowers from these areas of the world, and many ways of pollinating flowers will be demonstrated. Hummingbirds are often seen in the winter-blooming South African aloe garden. 15 miles round trip by personal vehicle. Easy."
"Friday","132","Retain",13:30:00,16:30:00,"Presentation","Bird Sounds Workshop","Birding","","St. Timothy's","","Roy Poucher","","","","No",,"No","None",50,"SOLID","Yes","BSW1","Bird songs are Nature’s Music. We can plug into this magic no matter how good we are at finding birds with our eyes. These sounds are already coming at us from 360 degrees. The focus of this workshop by Roy Poucher is to increase our birding enjoyment via improving our skills as auditory birders. Some prior experience trying to identify birds by ear will surely be useful, but motivation to learn trumps experience with this; folks of all experience levels are welcome. We will explore the principles of describing bird vocalizations in general as well as become familiar with specific vocalizations of common birds in the Morro Bay area. This workshop is a prerequisite for the Saturday #210 and Sunday #306 events, Bird Sounds Field Study."
"Friday","133","New",14:00:00,15:00:00,"Presentation","Owling Workshop","Birding","B","Community Center","","Chris Cameron","Karl Frank","","","No",,"No","None",30,"SOLID","No","","Learn how, with presenters Chris Cameron and Karl Frank, to find and watch owls with local maps for your own exploration. Learn field ID, seasonality, vocalizations, range, habitat and owling etiquette. Live and mounted owl specimens will help participants identify and appreciate owls. Review the natural history of local species and learn tips that will give you the best chance of finding owls on your own. While workshop is a prerequisite for the field trip, participants may take only the workshop. Bus will leave for owling field trip at 3:30 PM, directly after end of workshop."
"Friday","134","Retain",14:00:00,15:00:00,"Presentation","Protecting Place - Land Trusts","Nature","B","Community Center","Multi-Purpose Room","Daniel Bohlman","","","","No",,"No","None",50,"SOLID","No","","Join The Land Conservancy of San Luis Obispo County's Conservation Director, Daniel Bohlman, for a look at how land trusts protect and enhance critical landscapes for the benefit of people and wildlife."
"Friday","135","New",14:00:00,15:45:00,"Field Trip","Birding Up Close","Birding","","Morro Bay Landing","","Marlin Harms","Capt. Stew","","","No",$30.00,"Yes","Boat",20,"SOLID","Yes","MBUC1","Enjoy a leisurely boating tour of the bay and estuary with Marlin Harms and Captain Stew in a spacious pontoon boat. View a variety of shorebirds and waterfowl, often at very close range. The boat will move slowly enough for you to see details of many species that you normally see only through a scope from shore. Good photo opportunities, but no tripods. Captain Stew will then point out the special sights and activities of this unique working harbor including the fishing industry, pleasure boats and more. There will be opportunities to photograph wintering birds, but the boat will also get close to otters and sea lions that frequent the bay. Easy access for limited mobility. Meet at Morro Bay Landing; address is 1213 Embarcadero, Morro Bay. Children 12 and under must be accompanied by an adult. Same as events #238 & #338."
"Friday","136","Retain",14:00:00,16:00:00,"Field Trip","Birds of Sea and Land at Morro Rock","Birding","B,Y","Community Center","","Claudia Freitas","Robbie Revel","","","No",,"No","Personal Vehicle",16,"SOLID","Yes","BSLMR1","Walk with Claudia Freitas, biologist and State Parks Docent, and Robbie Revel, State Park Docent, at Morro Rock to watch cormorants, gulls of various species and age classes, Brown Pelicans and maybe a Common Murre or other surprises. The Rock is also home to two pairs of nesting Peregrine Falcons, Blue-gray Gnatcatcher, Common Yellowthroat, various sparrows and the elusive Canyon Wren. <3 miles round trip by personal vehicle. Easy. Same as event #328."
"Friday","137","Retain",14:30:00,17:00:00,"Presentation/Field Trip","The Peregrine Falcons of Morro Rock","Birding","B,W,Y","Veterans' Hall","","Steve Schubert","","","","No",,"No","Personal Vehicle",30,"SOLID","No","","Join Steve Schubert for a presentation on the biology and the current status of our local resident Peregrine Falcons. Steve authored the book "The Peregrine Falcons of Morro Rock - A History," documenting a 40-year history of the monitoring and management activities at the famous Morro Rock nesting site. Following the lecture, travel by personal vehicle to Morro Rock - south side parking area - to search for peregrine activity and their recent nesting sites. Easy."
"Friday","138","Retain",15:00:00,16:30:00,"Presentation","Feeding Frenzy","Nature","B,W,Y","Museum","Auditorium","Karen Watts","","","","No",,"No","None",58,"SOLID","No","","Follow the path of the sun's energy as it is captured by microscopic phytoplankton, transferred to bait fish and used to fuel the annual summer feeding frenzy of birds, fish and marine mammals. Live local plankton will be viewed using the museum's video microscope system. Meet at the Museum of Natural History in the Morro Bay State Park for this presentation by Biologist and State Parks Docent Karen Watts."
"Friday","139","Retain",15:00:00,16:45:00,"Field Trip","Bay Birding Cruise ","Birding","B,Y","Embarcadero","","Roger Zachary","","","","Yes",$30.00,"Yes","Boat",18,"SOLID","Yes","BBC1","Enjoy a leisurely boating tour of the bay and estuary with Roger Zachary in an open-deck 34-foot power catamaran. View a variety of shorebirds and waterfowl, often at very close range. The boat will move slowly enough for you to see details of many species that you normally see only through a scope from shore. Good photo opportunities, but no tripods. Dress warmly. Meet at Sub Sea Tours, Marina Square, 699 Embarcadero #9. Easy. Children 12 and under must be accompanied by an adult. Same as events #231, #241, #333, #341 & #413."
"Friday","140","Retain",15:00:00,17:00:00,"Presentation","Gulls of San Luis Obispo County ","Birding","W","Community Center","Multipurpose Room","Kaaren Perry","","","","No",,"No","None",70,"SOLID","Yes","GSLOC1","Join Kaaren Perry, a San Luis Obispo gull expert, as she shares with you some of her favorite secrets that will help you to identify the resident and wintering gulls of San Luis Obispo County. Discussion of species, distribution, aging and plumages will be presented in a comprehensive and fun way. Study sheets for later field study will also be provided. This class is a prerequisite for the Saturday #216 and Sunday #405 events, Gulls of San Luis Obispo County Field Study."
"Friday","141","Retain",15:30:00,16:30:00,"Presentation","About the Morro Bay Estuary Program","Nature","B,W","Museum","Learning Center","Rachel Pass","","","","No",,"No","None",40,"SOLID","No","","The Morro Bay estuary serves as a vital stopover and wintering ground for migratory birds, and is home to many plants and wildlife that cannot be found anywhere else. The U.S. Congress recognized Morro Bay as an Estuary of National Significance in 1995. It is still considered the largest relatively undisturbed wetland in Central and Southern California. Rachel Pass, NEP Communication and Outreach Coordinator, will show you how the Morro Bay National Estuary Program works to protect and restore this special place."
"Friday","142","Retain",15:30:00,21:00:00,"Field Trip","Owling Field Trip","Birding","","Community Center","","Chris Cameron","Karl Frank","","","No",$50.00,"Yes","Van",18,"SOLID","No","","Daytime owls 3:30-5:30 PM.  "Dutch treat" dinner 5:30-6:30 PM.  Nighttime owls 6:30-8:30 PM.  Bus leaves from Community Center at 3:30 PM and returns 9:00ish PM. 

Beginning with daytime owling to hunt for Short-eared and Burrowing Owls and any roosting owls.  We will stop for dinner to share stories as we wait for dark (everyone pays on their own).  After dark, owling in the San Luis Obispo area.  Dress warmly in quiet clothes (no nylon) and be prepared get in and out of the van, walk quietly through mud in the dark, then to stand silently for long periods of time, in freezing cold weather, while it is pitch black, listening for owls!  Sounds like a good time to me! Possibilities: Great Horned, Western Screech, Saw-whet, Short-eared, Barn Owls, poorwill and more.  Heavy rain will cancel field trip, but not workshop.  Travel with leader in van.  Moderate with many in/out of van stops.   Heavy rain will cancel field trip, but not workshop. Leaders for this field trip are Chris Cameron and Karl Frank. Presentation #133 is a prerequisite for this field trip."
"Friday","143","Retain",17:00:00,18:30:00,"Special Event","Festival Opening Reception","Birding","B,W","Community Center","","MBWBF Committee","","","","No",,"No","None",300,"SOLID","No","","Enjoy wine and cheese and meet fellow birders at the Bird Festival Bazaar. Browse through the vendor booths featuring optics, books and CDs, garden art, nature photography and art, woodcarvings, jewelry, conservation and nature organizations and more!"
"Saturday","201","Retain",06:30:00,17:00:00,"Field Trip","Condor Country ","Birding","","Community Center","","Steve Schubert","","","","Yes",$80.00,"Yes","Van",20,"SOLID","No","","Ride with Steve Schubert from the Hi Mountain Condor Lookout Project (www.condorlookout.org) through some of California’s primary condor habitat as you make your way to Bittercreek National Wildlife Refuge, a release and supplemental feeding site for captive-bred California Condors. Observations of free-flying condors at Bittercreek NWR are very likely, but of course cannot be guaranteed. You will see a variety of other raptors flying and hunting in and around the grasslands and pinyon pine woodlands of the foothills surrounding the southern San Joaquin Valley; they include eagles, hawks, harriers, falcons and accipiters. The trip will focus on condor biology and the condor recovery program, including radio telemetry tracking demonstrations. Raptors and other wildlife along the way are encountered by traveling from the coast inland through the Cuyama Valley to the rugged mountainous terrain of ‘condor country’, possibly returning by way of the Carrizo Plain. Bring lunch. Moderately easy but many in/out of van stops and short walks. Not recommended for those prone to carsickness."
"Saturday","202","Retain",07:00:00,10:00:00,"Field Trip","Bird Banding in Morro Bay","Birding","","Community Center","","Jodi Isaacs","","","","No",,"No","Personal Vehicle",10,"SOLID","Yes","BBMB2","Observe mist-netted passerines in Morro Bay State Park with Jodi Isaacs, State Parks Environmental Scientist. Discuss identification, analysis and bird-banding data collection techniques. Probable species captured include sparrows (maybe a “large-billed” Savannah Sparrow) and Yellow-rumped Warblers. Rain cancels. <5 miles round trip by personal vehicle. Easy. Same as event #104."
"Saturday","203","Retain",07:00:00,12:00:00,"Field Trip","Bird the Oceano Lagoon","Birding","B","Community Center","","Rich Hansen","Gary Espiau","","","No",$50.00,"Yes","Van",15,"SOLID","No","","Join birders Rich Hansen and Gary Espiau on an easy morning hunt for birds while strolling around the Oceano lagoon area and through the native plant gardens at Pismo State Beach. Search for that elusive songster or water bird and learn about some of the birds' habits and behaviors while you listen and look. Easy level walk. 60 miles round trip by van."
"Saturday","204","Retain",07:00:00,14:00:00,"Field Trip","Point Buchon Ecology Field Trip","Nature","B,Y","Community Center","","Sally Krenn","","","","No",,"No","Personal Vehicle",15,"SOLID","Yes","PBEFT1","Join Sally Krenn, PG&E Biologist, as you explore the spectacular scenic coastline at Point Buchon. Learn the background of this historic ranch and the efforts to regenerate the Bishop pine forest along the ridges overlooking the ocean. Look for marine mammals, gulls and shorebirds -- maybe even a Peregrine Falcon. Bring your camera to capture the striking sea stacks that dot this coastline and peek into a dramatic sink hole. Be prepared for wind and cool weather. 22 miles round trip by personal vehicle. Active four-mile round trip hike. This trip, while the same as # 305, is two hours longer for those who want to walk the entire loop."
"Saturday","205","Retain",07:00:00,16:00:00,"Field Trip","Big Day ","Birding","","Community Center","","Ron Melcer ","","","","Yes",$70.00,"Yes","Van",14,"SOLID","Yes","BD2","See loons to sparrows with Ron Melcer on this full day of birding the area. Pace to be determined by the leader based on the desires of the group, but expect a rather fast-paced day, seeing over 100 species, including specialties and rarities. Travel with leader in van. Bring lunch. Easy but many in/out of van stops. Same as event #102."
