Track|Trip#|Day|Start|End|TimeSpan|Site|MaxAtt|CODE|FEE|Event|Leaders|Program
Nature|119|Friday|2017-01-13 10:00|2017-01-13 11:30|10:00 AM-11:30 AM|"Community Center"|15|"B,Y"||"View Morro Bay Estuary from Black Hill"|"Lexi Bell, Rachel Pass"|"Hike to the top of Black Hill with Morro Bay National Estuary Program Assistant Director Lexie Bell and Communication and Outreach Coordinator Rachel Pass for a remarkable view of the bay and watershed. Learn about the history and ecology of the Morro Bay estuary, as well as important conservation actions taking place to protect this special resource. The Morro Bay estuary is one of only 28 National Estuaries and is an Audubon Important Bird Area. The trail is steep in places but less than ½ mile in length. < 5 miles roundtrip by personal vehicle. Moderate to Strenuous. (www.mbnep.org)"
Nature|120|Friday|2017-01-13 10:00|2017-01-13 11:45|10:00 AM-11:45 AM|"Morro Bay Landing"|20|"B,Y"|$30.00|"Morro Bay Up Close"|"John McCabe, Capt. Stew"|"State Parks Docent John McCabe begins this special trip by describing the geologic history of Morro Rock and features of the estuary using photos, diagrams and hands-on materials. Captain Stew will then take you on a bay cruise on his spacious pontoon boat as he points out the special sights and activities of this unique working harbor including the fishing industry, pleasure boats and more. There will be opportunities to photograph wintering birds, but the boat will also get close to otters and sea lions that frequent the bay. Easy access for limited mobility. Meet at Morro Bay Landing; address is 1213 Embarcadero, Morro Bay. Children 12 and under must be accompanied by an adult. Same as event #228, #332 & #414."
Nature|121|Friday|2017-01-13 10:00|2017-01-13 12:00|10:00 AM-12:00 PM|"Community Center"|25|"B,Y"||"Birding and Technology"|"Chris Cameron"|"Can technology and birding be friends? At this workshop lead by Chris Cameron, you'll learn how to enhance your nature observations by experimenting with a variety of new nature apps. Why would you want to ruin your time in nature by mixing in a smartphone? Because these new apps can help you, find new nature spots, get help with nature ID's, share observations with friends and keep accurate lists. And finally, your observations can benefit the scientific community by turning your time in nature into valuable data points with a simple easy click on your device. We will explore iNaturalist, iBird Pro, Merlin Bird ID and many other new nature apps. Bring your iPhone, iPad, Android smart phone, kindle or whatever device you use! Download as many apps as you can before the workshop. After discussing these apps, we will go outside and try them out!"
Birding|122|Friday|2017-01-13 10:00|2017-01-13 12:00|10:00 AM-12:00 PM|"State Park Marina"|10|"W"||"Morro Bay Marina Limited Mobility"|"Rich Hansen"|"The Morro Bay State Park Marina boardwalk provides opportunities for viewing a variety of shorebirds, ducks, geese, loons, grebes, gulls, terns and herons. Additionally, Peregrine Falcons and other raptors, warblers, sparrows, finch and other local birds are often seen from the boardwalk. Join Rich Hansen for this slow, level half-mile walk especially suited for photographers and people with wheelchairs and those using walkers and canes. Meet at east end of the State Park Marina parking lot, across from Morro Bay State Park Campground. Approximately 2.5 miles from Community Center. Easy."
Nature|123|Friday|2017-01-13 10:00|2017-01-13 12:00|10:00 AM-12:00 PM|"State Park Marina"|20|"B,Y"|$30.00|"Visit an Oyster Farm on Morro Bay Estuary"|"George Trevelyan"|"Join marine biologist and oyster farmer George Trevelyan on a tour of Grassy Bar Oyster Company's intertidal oyster bed. We will look at and talk about how we raise oysters and how they fit into the ecology of the estuary. Meet at Lost Isles to board an electric boat to get to the oyster beds. The address of Long Isles is 845 Embarcadero, Morro Bay. Minimum age is 8; children 12 years and under must be accompanied by an adult. Approximately 2.5 miles from Community Center."
Birding|124|Friday|2017-01-13 12:30|2017-01-13 14:00|12:30 PM-2:00 PM|"Veterans Hall"|0|"B,W,Y"||"Condor Recovery Program/Hi Mountain Lookout Project"|"Steve Schubert"|"The endangered California Condor population, once near the brink of extinction, has been on the recovery the past several decades due to innovative management techniques and dedicated work by staff biologists and volunteers, in coordination with the California Condor Recovery Program. Steve Schubert will give an overview of condor biology and provide an update on the captive breeding and reintroduction program (including a new release site locally in San Luis Obispo County), radio and GPS tracking data, fledgling success from recent nesting in the wild and future management challenges, including reducing exposure to lead poisoning and 'microtrash' ingestion. Steve has been the coordinator of the Hi Mountain Condor Lookout Project (website at www.condorlookout.org and facebook page at www.facebook.com/condorlookout) since the project's inception in 1996. Located on the summit of the Santa Lucia Mountains within Los Padres National Forest, the lookout is staffed by volunteers and Cal Poly student interns conducting condor tracking and other biological field research projects, in the heart of 'condor country.'"
Birding|125|Friday|2017-01-13 13:00|2017-01-13 14:30|1:00 PM-2:30 PM|"Community Center"|15|"B,Y"||"Snowy Plovers in the Field"|"Regena Orr"|"Join Regena Orr, Environmental Scientist for California State Parks, as you explore the beach for Western Snowy Plover and learn about their habits. Hear the life history of this small bird and why it is listed as a Federally Threatened Species. (www.westernsnowyplover.org) Up to 20 miles round trip by personal vehicle. Moderate. Same as event #230."
Birding|126|Friday|2017-01-13 13:00|2017-01-13 15:00|1:00 PM-3:00 PM|"Community Center"|20|"B,Y"||"Basics of Bird ID in the Field"|"Rouvaishyana, Ralph Cass"|"Join Ralph Cass and Rouvaishyana in the field for the second part of the “Basics of Bird ID” workshop. (See event #114, which is a prerequisite to this event.) Bring binoculars and your field guide. <5 miles round trip by personal vehicle. Easy. Same as event #126."
Birding|127|Friday|2017-01-13 13:00|2017-01-13 15:00|1:00 PM-3:00 PM|"Community Center"|30|"B,W"||"Delving into the Mysteries of Sparrow Identification and Natural History"|"David Jaffee"|"This seminar, presented by David Jaffee, is designed for folks interested in exploring the veil of secrecy shrouding LBB’s (little brown birds) and will be generally geared towards beginner ‘delvers’, although all are welcome. The workshop will spend about 1 1/2 to 2 hours indoors learning some natural history of sparrows, key identification features to help us differentiate these LBB’s in the field and how not to confuse them with their look-alikes. The field trip will visit a nearby site to implement our newly acquired skills to identify sparrows, as well as other birds along the way."
Nature|128|Friday|2017-01-13 13:00|2017-01-13 15:00|1:00 PM-3:00 PM|"Museum"|40|"B,Y"||"Marine Protected Area"|"Dean Wendt"|"This seminar, presented by Dean Wendt, Cal Poly Professor of Biology, will provide a general overview of the different types of spatial designations (e.g., Sanctuary, Marine Protected Area, National Estuary, etc.) and what we understand to be some of the ecological and social impacts of such designations. The talk will focus on local examples of such areas to help build a stronger understanding of our regional ocean resources."
Birding|129|Friday|2017-01-13 13:00|2017-01-13 16:00|1:00 PM-4:00 PM|"Community Center"|15|"B,Y"||"Birding by Careful Observation"|"Michele Roest"|"Enjoy birds through leisurely in-depth observation and enhance your ID skills with the help of biologist Michele Roest. This is not a "tick and run" kind of birding trip, but a stroll through El Chorro Regional Park sharing observations of bird characteristics with the group -- finally checking a guide for positive identification. Be surprised at the variations you see, whether crows or Black Phoebes. Bring binoculars and a favorite field guide. 15 miles round trip by personal vehicle. Easy. Same as event #322."
Nature|130|Friday|2017-01-13 13:30|2017-01-13 14:30|1:30 PM-2:30 PM|"Community Center"|15|"B,Y"||"Pacific Wildlife Care Tour"|"Claudia Duckworth, Jeanette Stone"|"Join long-time volunteers Claudia Duckworth and Jeanette Stone at the Pacific Wildlife Care Center in Morro Bay. Following a brief presentation, they will give a tour of the Wildlife Rehabilitation Center facility. Learn about PWC's work with lead-poisoned birds, fishing hook and line injuries, and the many other causes of illness and injuries treated regularly at the Center. Since PWC is a primary facility under the OWCN (Oiled Wildlife Care Network), emphasis will be placed on the Center's rehabilitation process for oil-affected birds. <2 miles round trip by personal vehicle. Easy. Same as event #336."
Nature|131|Friday|2017-01-13 13:30|2017-01-13 15:30|1:30 PM-3:30 PM|"Community Center"|15|"B"||"Gardening to Attract Birds"|"Ken Levine"|"Join Ken Levine for a presentation and docent-led tour of the San Luis Obispo Botanical Garden that highlights plants from the five Mediterranean climate zones of the world. The Botanical Garden provides a unique bird habitat. You will see many nectar-producing flowers from these areas of the world, and many ways of pollinating flowers will be demonstrated. Hummingbirds are often seen in the winter-blooming South African aloe garden. 15 miles round trip by personal vehicle. Easy."
Birding|132|Friday|2017-01-13 13:30|2017-01-13 16:30|1:30 PM-4:30 PM|"St. Timothy's"|50|""||"Bird Sounds Workshop"|"Roy Poucher"|"Bird songs are Nature’s Music. We can plug into this magic no matter how good we are at finding birds with our eyes. These sounds are already coming at us from 360 degrees. The focus of this workshop by Roy Poucher is to increase our birding enjoyment via improving our skills as auditory birders. Some prior experience trying to identify birds by ear will surely be useful, but motivation to learn trumps experience with this; folks of all experience levels are welcome. We will explore the principles of describing bird vocalizations in general as well as become familiar with specific vocalizations of common birds in the Morro Bay area. This workshop is a prerequisite for the Saturday #210 and Sunday #306 events, Bird Sounds Field Study."
Birding|133|Friday|2017-01-13 14:00|2017-01-13 15:00|2:00 PM-3:00 PM|"Community Center"|30|"B"||"Owling Workshop"|"Chris Cameron, Karl Frank"|"Learn how, with presenters Chris Cameron and Karl Frank, to find and watch owls with local maps for your own exploration. Learn field ID, seasonality, vocalizations, range, habitat and owling etiquette. Live and mounted owl specimens will help participants identify and appreciate owls. Review the natural history of local species and learn tips that will give you the best chance of finding owls on your own. While workshop is a prerequisite for the field trip, participants may take only the workshop. Bus will leave for owling field trip at 3:30 PM, directly after end of workshop."
Nature|134|Friday|2017-01-13 14:00|2017-01-13 15:00|2:00 PM-3:00 PM|"Community Center"|50|"B"||"Protecting Place - Land Trusts"|"Daniel Bohlman"|"Join The Land Conservancy of San Luis Obispo County's Conservation Director, Daniel Bohlman, for a look at how land trusts protect and enhance critical landscapes for the benefit of people and wildlife."
Birding|135|Friday|2017-01-13 14:00|2017-01-13 15:45|2:00 PM-3:45 PM|"Morro Bay Landing"|20|""|$30.00|"Birding Up Close"|"Marlin Harms, Capt. Stew"|"Enjoy a leisurely boating tour of the bay and estuary with Marlin Harms and Captain Stew in a spacious pontoon boat. View a variety of shorebirds and waterfowl, often at very close range. The boat will move slowly enough for you to see details of many species that you normally see only through a scope from shore. Good photo opportunities, but no tripods. Captain Stew will then point out the special sights and activities of this unique working harbor including the fishing industry, pleasure boats and more. There will be opportunities to photograph wintering birds, but the boat will also get close to otters and sea lions that frequent the bay. Easy access for limited mobility. Meet at Morro Bay Landing; address is 1213 Embarcadero, Morro Bay. Children 12 and under must be accompanied by an adult. Same as events #238 & #338."
Birding|136|Friday|2017-01-13 14:00|2017-01-13 16:00|2:00 PM-4:00 PM|"Community Center"|16|"B,Y"||"Birds of Sea and Land at Morro Rock"|"Claudia Freitas, Robbie Revel"|"Walk with Claudia Freitas, biologist and State Parks Docent, and Robbie Revel, State Park Docent, at Morro Rock to watch cormorants, gulls of various species and age classes, Brown Pelicans and maybe a Common Murre or other surprises. The Rock is also home to two pairs of nesting Peregrine Falcons, Blue-gray Gnatcatcher, Common Yellowthroat, various sparrows and the elusive Canyon Wren. <3 miles round trip by personal vehicle. Easy. Same as event #328."
Birding|137|Friday|2017-01-13 14:30|2017-01-13 17:00|2:30 PM-5:00 PM|"Veterans' Hall"|30|"B,W,Y"||"The Peregrine Falcons of Morro Rock"|"Steve Schubert"|"Join Steve Schubert for a presentation on the biology and the current status of our local resident Peregrine Falcons. Steve authored the book "The Peregrine Falcons of Morro Rock - A History," documenting a 40-year history of the monitoring and management activities at the famous Morro Rock nesting site. Following the lecture, travel by personal vehicle to Morro Rock - south side parking area - to search for peregrine activity and their recent nesting sites. Easy."
Nature|138|Friday|2017-01-13 15:00|2017-01-13 16:30|3:00 PM-4:30 PM|"Museum"|58|"B,W,Y"||"Feeding Frenzy"|"Karen Watts"|"Follow the path of the sun's energy as it is captured by microscopic phytoplankton, transferred to bait fish and used to fuel the annual summer feeding frenzy of birds, fish and marine mammals. Live local plankton will be viewed using the museum's video microscope system. Meet at the Museum of Natural History in the Morro Bay State Park for this presentation by Biologist and State Parks Docent Karen Watts."
Birding|139|Friday|2017-01-13 15:00|2017-01-13 16:45|3:00 PM-4:45 PM|"Embarcadero"|18|"B,Y"|$30.00|"Bay Birding Cruise "|"Roger Zachary"|"Enjoy a leisurely boating tour of the bay and estuary with Roger Zachary in an open-deck 34-foot power catamaran. View a variety of shorebirds and waterfowl, often at very close range. The boat will move slowly enough for you to see details of many species that you normally see only through a scope from shore. Good photo opportunities, but no tripods. Dress warmly. Meet at Sub Sea Tours, Marina Square, 699 Embarcadero #9. Easy. Children 12 and under must be accompanied by an adult. Same as events #231, #241, #333, #341 & #413."
Birding|140|Friday|2017-01-13 15:00|2017-01-13 17:00|3:00 PM-5:00 PM|"Community Center"|70|"W"||"Gulls of San Luis Obispo County "|"Kaaren Perry"|"Join Kaaren Perry, a San Luis Obispo gull expert, as she shares with you some of her favorite secrets that will help you to identify the resident and wintering gulls of San Luis Obispo County. Discussion of species, distribution, aging and plumages will be presented in a comprehensive and fun way. Study sheets for later field study will also be provided. This class is a prerequisite for the Saturday #216 and Sunday #405 events, Gulls of San Luis Obispo County Field Study."
Nature|141|Friday|2017-01-13 15:30|2017-01-13 16:30|3:30 PM-4:30 PM|"Museum"|40|"B,W"||"About the Morro Bay Estuary Program"|"Rachel Pass"|"The Morro Bay estuary serves as a vital stopover and wintering ground for migratory birds, and is home to many plants and wildlife that cannot be found anywhere else. The U.S. Congress recognized Morro Bay as an Estuary of National Significance in 1995. It is still considered the largest relatively undisturbed wetland in Central and Southern California. Rachel Pass, NEP Communication and Outreach Coordinator, will show you how the Morro Bay National Estuary Program works to protect and restore this special place."
Birding|142|Friday|2017-01-13 15:30|2017-01-13 21:00|3:30 PM-9:00 PM|"Community Center"|18|""|$50.00|"Owling Field Trip"|"Chris Cameron, Karl Frank"|"Daytime owls 3:30-5:30 PM.  "Dutch treat" dinner 5:30-6:30 PM.  Nighttime owls 6:30-8:30 PM.  Bus leaves from Community Center at 3:30 PM and returns 9:00ish PM. 

Beginning with daytime owling to hunt for Short-eared and Burrowing Owls and any roosting owls.  We will stop for dinner to share stories as we wait for dark (everyone pays on their own).  After dark, owling in the San Luis Obispo area.  Dress warmly in quiet clothes (no nylon) and be prepared get in and out of the van, walk quietly through mud in the dark, then to stand silently for long periods of time, in freezing cold weather, while it is pitch black, listening for owls!  Sounds like a good time to me! Possibilities: Great Horned, Western Screech, Saw-whet, Short-eared, Barn Owls, poorwill and more.  Heavy rain will cancel field trip, but not workshop.  Travel with leader in van.  Moderate with many in/out of van stops.   Heavy rain will cancel field trip, but not workshop. Leaders for this field trip are Chris Cameron and Karl Frank. Presentation #133 is a prerequisite for this field trip."
Birding|143|Friday|2017-01-13 17:00|2017-01-13 18:30|5:00 PM-6:30 PM|"Community Center"|300|"B,W"||"Festival Opening Reception"|"MBWBF Committee"|"Enjoy wine and cheese and meet fellow birders at the Bird Festival Bazaar. Browse through the vendor booths featuring optics, books and CDs, garden art, nature photography and art, woodcarvings, jewelry, conservation and nature organizations and more!"
Birding|201|Saturday|2017-01-14 06:30|2017-01-14 17:00|6:30 AM-5:00 PM|"Community Center"|20|""|$80.00|"Condor Country "|"Steve Schubert"|"Ride with Steve Schubert from the Hi Mountain Condor Lookout Project (www.condorlookout.org) through some of California’s primary condor habitat as you make your way to Bittercreek National Wildlife Refuge, a release and supplemental feeding site for captive-bred California Condors. Observations of free-flying condors at Bittercreek NWR are very likely, but of course cannot be guaranteed. You will see a variety of other raptors flying and hunting in and around the grasslands and pinyon pine woodlands of the foothills surrounding the southern San Joaquin Valley; they include eagles, hawks, harriers, falcons and accipiters. The trip will focus on condor biology and the condor recovery program, including radio telemetry tracking demonstrations. Raptors and other wildlife along the way are encountered by traveling from the coast inland through the Cuyama Valley to the rugged mountainous terrain of ‘condor country’, possibly returning by way of the Carrizo Plain. Bring lunch. Moderately easy but many in/out of van stops and short walks. Not recommended for those prone to carsickness."
Birding|202|Saturday|2017-01-14 07:00|2017-01-14 10:00|7:00 AM-10:00 AM|"Community Center"|10|""||"Bird Banding in Morro Bay"|"Jodi Isaacs"|"Observe mist-netted passerines in Morro Bay State Park with Jodi Isaacs, State Parks Environmental Scientist. Discuss identification, analysis and bird-banding data collection techniques. Probable species captured include sparrows (maybe a “large-billed” Savannah Sparrow) and Yellow-rumped Warblers. Rain cancels. <5 miles round trip by personal vehicle. Easy. Same as event #104."
Birding|203|Saturday|2017-01-14 07:00|2017-01-14 12:00|7:00 AM-12:00 PM|"Community Center"|15|"B"|$50.00|"Bird the Oceano Lagoon"|"Rich Hansen, Gary Espiau"|"Join birders Rich Hansen and Gary Espiau on an easy morning hunt for birds while strolling around the Oceano lagoon area and through the native plant gardens at Pismo State Beach. Search for that elusive songster or water bird and learn about some of the birds' habits and behaviors while you listen and look. Easy level walk. 60 miles round trip by van."
Nature|204|Saturday|2017-01-14 07:00|2017-01-14 14:00|7:00 AM-2:00 PM|"Community Center"|15|"B,Y"||"Point Buchon Ecology Field Trip"|"Sally Krenn"|"Join Sally Krenn, PG&E Biologist, as you explore the spectacular scenic coastline at Point Buchon. Learn the background of this historic ranch and the efforts to regenerate the Bishop pine forest along the ridges overlooking the ocean. Look for marine mammals, gulls and shorebirds -- maybe even a Peregrine Falcon. Bring your camera to capture the striking sea stacks that dot this coastline and peek into a dramatic sink hole. Be prepared for wind and cool weather. 22 miles round trip by personal vehicle. Active four-mile round trip hike. This trip, while the same as # 305, is two hours longer for those who want to walk the entire loop."
Birding|205|Saturday|2017-01-14 07:00|2017-01-14 16:00|7:00 AM-4:00 PM|"Community Center"|14|""|$70.00|"Big Day "|"Ron Melcer "|"See loons to sparrows with Ron Melcer on this full day of birding the area. Pace to be determined by the leader based on the desires of the group, but expect a rather fast-paced day, seeing over 100 species, including specialties and rarities. Travel with leader in van. Bring lunch. Easy but many in/out of van stops. Same as event #102."
